Authors,Title,Journal/Booktitle,Volume/Pages,DOI,Type
"Luiz Carvalho, Alessandro Garcia 0001, Wesley K. G. Assunção, Rodrigo Bonifácio, Leonardo P. Tizzei, Thelma Elita Colanzi","Extraction of configurable and reusable microservices from legacy systems: an
                exploratory study.",SPLC (A),2019: 6:1-6:6,https://doi.org/10.1145/3336294.3336319,inproceedings
"Gabriela Karoline Michelon, Lukas Linsbauer, Wesley K. G. Assunção, Alexander Egyed",Comparison-based feature location in ArgoUML variants.,SPLC (A),2019: 17:1-17:5,https://doi.org/10.1145/3336294.3342360,inproceedings
"Thelma Elita Colanzi, Wesley Klewerton Guez Assunção, Paulo Roberto Farah, Silvia Regina Vergilio, Giovani Guizzo",A Review of Ten Years of the Symposium on Search-Based Software Engineering.,SSBSE,2019: 42-57,https://doi.org/10.1007/978-3-030-27455-9_4,inproceedings
"José Luís Barros Justo, Luisa Rincón, Ángela Villota, Wesley K. G. Assunção","Adopting a software product line engineering approach in industrial development
                contexts: A protocol for a systematic literature review.",CoRR,abs/1904.01861(2019): ,http://arxiv.org/abs/1904.01861,article
"Crescencio Lima, Wesley K. G. Assunção, Jabier Martinez, Ivan do Carmo Machado, Christina von Flach G. Chavez, Willian Douglas Ferrari Mendonça","Towards an Automated Product Line Architecture Recovery: The Apo-Games Case
                Study.",SBCARS,2018: 33-42,https://doi.org/10.1145/3267183.3267187,inproceedings
"Javan Ataide De Oliveira Junior, Wesley Klewerton Guez Assunção, Daniel Cavalcanti Jeronymo","Multi-objective Tuning of Generalized Predictive Controller: A Trade-Off Between
                Performance and Robustness.",SBESC,2018: 178-183,https://doi.org/10.1109/SBESC.2018.00034,inproceedings
"Willian Douglas Ferrari Mendonça, Wesley K. G. Assunção, Lukas Linsbauer",Multi-objective optimization for reverse engineering of apo-games feature models.,SPLC,2018: 279-283,https://doi.org/10.1145/3233027.3236397,inproceedings
"Wesley K. G. Assunção, Roberto E. Lopez-Herrejon, Lukas Linsbauer, Silvia R. Vergilio, Alexander Egyed","Multi-objective reverse engineering of variability-safe feature models based on
                code dependencies of system variants.",Empir. Softw. Eng.,22(2017): 1763-1794,https://doi.org/10.1007/s10664-016-9462-4,article
"Wesley K. G. Assunção, Roberto E. Lopez-Herrejon, Lukas Linsbauer, Silvia R. Vergilio, Alexander Egyed","Reengineering legacy applications into software product lines: a systematic
                mapping.",Empir. Softw. Eng.,22(2017): 2972-3016,https://doi.org/10.1007/s10664-017-9499-z,article
"Wesley K. G. Assunção, Silvia R. Vergilio, Roberto E. Lopez-Herrejon",Discovering Software Architectures with Search-Based Merge of UML Model Variants.,ICSR,2017: 95-111,https://doi.org/10.1007/978-3-319-56856-0_7,inproceedings
"Jabier Martinez, Wesley K. G. Assunção, Tewfik Ziadi",ESPLA: A Catalog of Extractive SPL Adoption Case Studies.,SPLC (B),2017: 38-41,https://doi.org/10.1145/3109729.3109748,inproceedings
"Roberto Erick Lopez-Herrejon, Lukas Linsbauer, Wesley K. G. Assunção, Stefan Fischer 0006, Silvia Regina Vergilio, Alexander Egyed",Genetic Improvement for Software Product Lines: An Overview and a Roadmap.,GECCO (Companion),2015: 823-830,https://doi.org/10.1145/2739482.2768422,inproceedings
"Wesley K. G. Assunção, Roberto Erick Lopez-Herrejon, Lukas Linsbauer, Silvia Regina Vergilio, Alexander Egyed","Extracting Variability-Safe Feature Models from Source Code Dependencies in
                System Variants.",GECCO,2015: 1303-1310,https://doi.org/10.1145/2739480.2754720,inproceedings
Wesley Klewerton Guez Assunção,Search-Based Migration of Model Variants to Software Product Line Architectures.,ICSE (2),2015: 895-898,https://doi.org/10.1109/ICSE.2015.286,inproceedings
"Wesley Klewerton Guez Assunção, Thelma Elita Colanzi, Silvia Regina Vergilio, Aurora T. R. Pozo","A multi-objective optimization approach for the integration and test order
                problem.",Inf. Sci.,267(2014): 119-139,https://doi.org/10.1016/j.ins.2013.12.040,article
"Wesley Klewerton Guez Assunção, Thelma Elita Colanzi, Silvia Regina Vergilio, Aurora Trinidad Ramirez Pozo","Evaluating different strategies for integration testing of aspect-oriented
                programs.",J. Braz. Comput. Soc.,20(2014): 9:1-9:17,https://doi.org/10.1186/1678-4804-20-9,article
"Wesley K. G. Assunção, Márcio de Oliveira Barros, Thelma Elita Colanzi, Arilo Claudio Dias-Neto, Matheus Henrique Esteves Paixão, Jerffeson Teixeira de Souza, Silvia Regina Vergilio",A mapping study of the Brazilian SBSE community.,J. Softw. Eng. Res. Dev.,2(2014): 3,https://doi.org/10.1186/2195-1721-2-3,article
"Wesley Klewerton Guez Assunção, Silvia Regina Vergilio",Feature location for software product line migration: a mapping study.,SPLC Workshops,2014: 52-59,https://doi.org/10.1145/2647908.2655967,inproceedings
"Thelma Elita Colanzi, Wesley Klewerton Guez Assunção, Daniela de Freitas Guilhermino Trindade, Carlos Alberto Zorzo, Silvia Regina Vergilio",Evaluating Different Strategies for Testing Software Product Lines.,J. Electron. Test.,29(2013): 9-24,https://doi.org/10.1007/s10836-012-5343-y,article
"Thelma Elita Colanzi, Silvia Regina Vergilio, Wesley Klewerton Guez Assunção, Aurora T. R. Pozo",Search Based Software Engineering: Review and analysis of the field in Brazil.,J. Syst. Softw.,86(2013): 970-984,https://doi.org/10.1016/j.jss.2012.07.041,article
"Wesley Klewerton Guez Assunção, Thelma Elita Colanzi, Silvia Regina Vergilio, Aurora Trinidad Ramirez Pozo","Generating Integration Test Orders for Aspect Oriented Software with
                Multi-objective Algorithms.",RITA,20(2013): 301-327,https://doi.org/10.22456/2175-2745.25720,article
"Wesley Klewerton Guez Assunção, Silvia Regina Vergilio",A Multi-objective Solution for Retrieving Class Diagrams.,BRACIS,2013: 249-255,https://doi.org/10.1109/BRACIS.2013.49,inproceedings
"Wesley Klewerton Guez Assunção, Thelma Elita Colanzi, Silvia Regina Vergilio, Aurora T. R. Pozo","Determining Integration and Test Orders in the Presence of Modularization
                Restrictions.",SBES,2013: 31-40,https://doi.org/10.1109/SBES.2013.5,inproceedings
"Wesley Klewerton Guez Assunção, Silvia Regina Vergilio",Class Diagram Retrieval with Particle Swarm Optimization.,SEKE,2013: 632-637,,inproceedings
"Wesley Klewerton Guez Assunção, Thelma Elita Colanzi, Silvia Regina Vergilio, Aurora T. R. Pozo","On the Application of the Multi-Evolutionary and Coupling-Based Approach with
                Different Aspect-Class Integration Testing Strategies.",SSBSE,2013: 19-33,https://doi.org/10.1007/978-3-642-39742-4_4,inproceedings
"Thelma Elita Colanzi, Wesley Klewerton Guez Assunção, Aurora Trinidad Ramirez Pozo, Ana Cristina B. Kochem Vendramin, Diogo Augusto Barros Pereira, Carlos Alberto Zorzo, Pedro Luiz de Paula Filho",Application of Bio-inspired Metaheuristics in the Data Clustering Problem.,CLEI Electron. J.,14(2011): ,https://doi.org/10.19153/cleiej.14.3.5,article
"Wesley Klewerton Guez Assunção, Thelma Elita Colanzi, Aurora Trinidad Ramirez Pozo, Silvia Regina Vergilio",Establishing integration test orders of classes with several coupling measures.,GECCO,2011: 1867-1874,https://doi.org/10.1145/2001576.2001827,inproceedings
"Silvia Regina Vergilio, Thelma Elita Colanzi, Aurora Trinidad Ramirez Pozo, Wesley Klewerton Guez Assunção","Search Based Software Engineering: A Review from the Brazilian Symposium on
                Software Engineering.",SBES,2011: 50-55,https://doi.org/10.1109/SBES.2011.13,inproceedings
"Thelma Elita Colanzi, Wesley Klewerton Guez Assunção, Silvia Regina Vergilio, Aurora T. R. Pozo","Integration Test of Classes and Aspects with a Multi-Evolutionary and
                Coupling-Based Approach.",SSBSE,2011: 188-203,https://doi.org/10.1007/978-3-642-23716-4_18,inproceedings
"Thelma Elita Colanzi, Wesley Klewerton Guez Assunção, Aurora Trinidad Ramirez Pozo, Ana Cristina B. Kochem Vendramin, Diogo Augusto Barros Pereira","Empirical Studies on Application of Genetic Algorithms and Ant Colony
                Optimization for Data Clustering.",SCCC,2010: 1-10,https://doi.org/10.1109/SCCC.2010.19,inproceedings
